,from,to,ED LOS Change [Est.],ED LOS Change [LC],ED LOS Change [UC],log_est,se,ED LOS Change (%) [95% CI]
0,"Non-Urgent, Discharged","Urgent, Admitted",1.0141538681240503,0.9691505197694825,1.0601857317408032,0.7001991906452503,0.0115292675321812,101.4 (96.9–106.0)
1,"Urgent, Admitted","Non-Urgent, Discharged",-0.5035136015048426,-0.5146068703451188,-0.4921668049443654,-0.7001991906452503,0.0115292675321812,-50.4 (-51.5–-49.2)
2,"Non-Urgent, Discharged","Urgent, Discharged",0.5603110061282828,0.5295419416723204,0.5916990371530599,0.4448851642940484,0.010161849094777079,56.0 (53.0–59.2)
3,"Urgent, Discharged","Non-Urgent, Discharged",-0.3591021302340388,-0.37174052590455975,-0.3462094939961876,-0.4448851642940484,0.010161849094777079,-35.9 (-37.2–-34.6)
4,"Non-Urgent, Discharged","Non-Urgent, Admitted",1.2749050785685325,1.2187397950359764,1.3324921327302315,0.8219383278263162,0.01275480223764223,127.5 (121.9–133.2)
5,"Non-Urgent, Admitted","Non-Urgent, Discharged",-0.5604212195837012,-0.5712740094735158,-0.549293701660142,-0.8219383278263162,0.01275480223764223,-56.0 (-57.1–-54.9)
6,"Urgent, Admitted","Urgent, Discharged",-0.22532680803501337,-0.24641311654490206,-0.2036504781004741,-0.2553140263512018,0.014080327454789482,-22.5 (-24.6–-20.4)
7,"Urgent, Discharged","Urgent, Admitted",0.2908669234615744,0.25573001866656275,0.32698700303159467,0.2553140263512018,0.014080327454789482,29.1 (25.6–32.7)
8,"Urgent, Admitted","Non-Urgent, Admitted",0.12945942937683386,0.0944521541432446,0.16558645143045636,0.12173913718106594,0.016064180368419036,12.9 (9.4–16.6)
9,"Non-Urgent, Admitted","Urgent, Admitted",-0.1146206990792592,-0.1420627798369153,-0.0863008527012159,-0.12173913718106594,0.016064180368419036,-11.5 (-14.2–-8.6)
10,"Urgent, Discharged","Non-Urgent, Admitted",0.45798181877433897,0.4151492163323909,0.5021108441028466,0.37705316353226775,0.015213639124816521,45.8 (41.5–50.2)
11,"Non-Urgent, Admitted","Urgent, Discharged",-0.3141203908560013,-0.33427016792674724,-0.29336073648001826,-0.37705316353226775,0.015213639124816521,-31.4 (-33.4–-29.3)
