iter	Passed	Remaining
412	3655	1416
413	3664	1407
414	3673	1398
415	3682	1389
416	3691	1381
417	3700	1372
418	3709	1363
419	3719	1354
420	3728	1345
421	3737	1337
422	3745	1328
423	3754	1319
424	3762	1310
425	3771	1301
426	3780	1292
427	3790	1284
428	3798	1275
429	3806	1265
430	3814	1256
431	3823	1247
432	3832	1239
433	3841	1230
434	3850	1221
435	3859	1212
436	3868	1203
437	3877	1194
438	3886	1186
439	3895	1177
440	3903	1168
441	3912	1159
442	3921	1150
443	3930	1141
444	3939	1133
445	3949	1124
446	3958	1115
447	3968	1107
448	3977	1098
449	3986	1089
450	3995	1080
451	4004	1071
452	4013	1063
453	4022	1054
454	4031	1045
455	4040	1036
456	4049	1027
457	4059	1019
458	4068	1010
459	4077	1001
460	4085	992
461	4094	983
462	4102	974
463	4111	965
464	4119	956
465	4128	947
466	4136	939
467	4145	930
468	4154	921
469	4163	912
470	4172	903
471	4180	894
472	4189	885
473	4197	876
474	4206	867
475	4215	859
476	4224	850
477	4232	841
478	4241	832
479	4250	823
480	4260	814
481	4269	805
482	4277	797
483	4285	788
484	4294	779
485	4303	770
486	4312	761
487	4321	752
488	4330	743
489	4339	735
490	4348	726
491	4356	717
492	4363	708
493	4372	699
494	4381	690
495	4391	681
496	4398	672
497	4407	663
498	4417	655
499	4425	646
500	4434	637
501	4443	628
502	4452	619
503	4461	610
504	4470	601
505	4478	593
506	4487	584
507	4496	575
508	4505	566
509	4514	557
510	4521	548
511	4529	539
512	4539	530
513	4547	522
514	4556	513
515	4566	504
516	4574	495
517	4583	486
518	4592	477
519	4601	469
520	4610	460
521	4619	451
522	4628	442
523	4636	433
524	4645	424
525	4654	415
526	4664	407
527	4673	398
528	4680	389
529	4687	380
530	4695	371
531	4703	362
532	4712	353
533	4719	344
534	4726	335
535	4734	326
536	4742	317
537	4751	309
538	4759	300
539	4767	291
540	4776	282
541	4783	273
542	4792	264
543	4800	255
544	4808	247
545	4816	238
546	4825	229
547	4833	220
548	4842	211
549	4850	202
550	4859	194
551	4867	185
552	4876	176
553	4883	167
554	4891	158
555	4899	149
556	4909	141
557	4918	132
558	4927	123
559	4935	114
560	4944	105
561	4952	96
562	4960	88
563	4970	79
564	4980	70
565	4989	61
566	4998	52
567	5006	44
568	5016	35
569	5025	26
570	5034	17
571	5044	8
572	5053	0
