iter	Logloss
0	0.6543372501
1	0.6251333427
2	0.6044945637
3	0.5866859844
4	0.5744373984
5	0.5587437533
6	0.5491977249
7	0.5391033754
8	0.5287231396
9	0.5244186388
10	0.517409725
11	0.5095173638
12	0.5047891267
13	0.5011554714
14	0.4973874273
15	0.4942278968
16	0.4901867508
17	0.4854042784
18	0.4832686954
19	0.4746797908
20	0.4715092689
21	0.4679231175
22	0.4653914428
23	0.4631175313
24	0.4613950714
25	0.4571025669
26	0.4553746404
27	0.4545757272
28	0.4523078051
29	0.4502744696
30	0.4481212972
31	0.447197706
32	0.4456092071
33	0.4440132519
34	0.442071741
35	0.4390629434
36	0.4352864501
37	0.4326684141
38	0.4276229014
39	0.4270186489
40	0.4217835941
41	0.4196999881
42	0.4177013682
43	0.4162354294
44	0.4149510132
45	0.4122874196
46	0.4099379098
47	0.4081352115
48	0.4061282496
49	0.4037301184
50	0.3989790842
51	0.3967524957
52	0.3937628821
53	0.3931707293
54	0.3903572251
55	0.388271003
56	0.3874879989
57	0.3864633118
58	0.385126269
59	0.3828656987
60	0.3811931638
61	0.3798640879
62	0.3783106799
63	0.3751961888
64	0.3736111424
65	0.3706362859
66	0.3679697444
67	0.3657918942
68	0.3638108064
69	0.3619089345
70	0.3580079506
71	0.3572297212
72	0.3551473001
73	0.3519129673
74	0.3489968205
75	0.3443253452
76	0.3420893964
77	0.3383408011
78	0.3357595924
79	0.3322319507
80	0.3301745875
81	0.3264220266
82	0.3233997733
83	0.3196395553
84	0.3165830424
85	0.3135375418
86	0.3102224961
87	0.3076489654
88	0.3052000294
89	0.302353137
90	0.299346434
91	0.2949894227
92	0.2924857778
93	0.2894884447
94	0.2861272559
95	0.2828831192
96	0.2812957566
97	0.2793983068
98	0.2763715504
99	0.2744212189
100	0.2708574063
101	0.2680740919
102	0.2638120818
103	0.2612412992
104	0.2580216573
105	0.2559317581
106	0.2524637629
107	0.2489615442
108	0.2469733645
109	0.2453060556
110	0.2436677985
111	0.241517776
112	0.237519615
113	0.2363402415
114	0.2348496571
115	0.2333059529
116	0.2310798848
117	0.2296708774
118	0.2273777572
119	0.2260200492
120	0.2240265195
121	0.2224480845
122	0.2202054574
123	0.2173322354
124	0.2157080535
125	0.2144930537
126	0.2123208307
127	0.2099279287
128	0.2081327022
129	0.207070906
130	0.205587418
131	0.2038795289
132	0.2028979435
133	0.2010194476
134	0.1990750383
135	0.1982540653
136	0.1970128286
137	0.1950343937
138	0.1937926182
139	0.1918172033
140	0.1897599784
141	0.1885125409
142	0.1870042068
143	0.185226824
144	0.1836399298
145	0.1810315925
146	0.1796202371
147	0.1782145842
148	0.1769952019
149	0.1755582524
150	0.1744735156
151	0.1729078835
152	0.1717249961
153	0.1702042925
154	0.1695987566
155	0.1684876939
156	0.1674064795
157	0.1652122091
158	0.1639140943
159	0.1631362645
160	0.1615463522
161	0.160518505
162	0.1591283336
163	0.1582363234
164	0.1572449853
165	0.1562265603
166	0.1547582833
167	0.1539819133
168	0.1525489461
169	0.1516163016
170	0.1504431023
171	0.1493827842
172	0.1488624623
173	0.1480049371
174	0.1467759498
175	0.145862431
176	0.1452660688
177	0.1442057222
178	0.14322022
179	0.1422186463
180	0.1412638087
181	0.1400104717
182	0.1392723117
183	0.1379650237
184	0.137223129
185	0.1366640479
186	0.1355902441
187	0.1350096262
188	0.1340648753
189	0.1328128472
190	0.1320460787
191	0.131136834
192	0.1298859008
193	0.1292218473
194	0.1276618839
195	0.1269238745
196	0.1258987411
197	0.125068668
198	0.1241494536
199	0.1231805864
200	0.1227529756
201	0.1221794223
202	0.1216520283
203	0.1201373501
204	0.1194661651
205	0.1187452445
206	0.1179622199
207	0.1171591248
208	0.1159550266
209	0.1152979164
210	0.1145169267
211	0.1131768347
212	0.1123126862
213	0.1114110367
214	0.1104877107
215	0.109752296
216	0.1087965103
217	0.1079888978
218	0.1073669101
219	0.1058774513
220	0.1051134531
221	0.1050490956
222	0.1046037643
223	0.1040683684
224	0.1035163088
225	0.1031277449
226	0.1025077778
227	0.1021641317
228	0.1020494049
229	0.1012169673
230	0.1007790256
231	0.1002110546
232	0.09928073422
233	0.0986313485
234	0.09758201724
235	0.09664457986
236	0.09604548645
237	0.09562949276
238	0.09549310721
239	0.09466506131
240	0.09398144255
241	0.09391691738
242	0.0935385305
243	0.09309373968
244	0.09237315449
